CODIGO_SEXO,CODIGO_ENTIDAD_FEDERATIVA,RINON_DERECHO,RINON_DERECHO,RINON_DERECHO,RINON_DERECHO,RINON_DERECHO
,,sum,count,mean,min,max
1.0,1,659,2031,0.32447070408665685,0,2
1.0,2,301,303,0.9933993399339934,0,3
1.0,3,73,129,0.5658914728682171,0,2
1.0,4,4,3,1.3333333333333333,1,2
1.0,5,735,891,0.8249158249158249,0,2
1.0,6,11,35,0.3142857142857143,0,1
1.0,7,33,33,1.0,1,1
1.0,8,241,362,0.6657458563535912,0,2
1.0,9,3630,5663,0.6410030019424333,0,2
1.0,10,52,194,0.26804123711340205,0,3
1.0,11,867,1106,0.7839059674502713,0,2
1.0,12,21,61,0.3442622950819672,0,1
1.0,13,150,223,0.672645739910314,0,2
1.0,14,2705,3020,0.8956953642384106,0,2
1.0,15,493,3379,0.14590115418762947,0,2
1.0,16,306,379,0.8073878627968337,0,2
1.0,17,318,337,0.9436201780415431,0,1
1.0,18,12,13,0.9230769230769231,0,2
1.0,19,896,1267,0.7071823204419889,0,2
1.0,20,12,24,0.5,0,1
1.0,21,802,1019,0.7870461236506379,0,2
1.0,22,255,968,0.2634297520661157,0,2
1.0,23,12,21,0.5714285714285714,0,2
1.0,24,477,548,0.8704379562043796,0,2
1.0,25,181,228,0.793859649122807,0,2
1.0,26,317,487,0.6509240246406571,0,2
1.0,27,123,179,0.6871508379888268,0,1
1.0,28,88,241,0.3651452282157676,0,2
1.0,29,40,49,0.8163265306122449,0,1
1.0,30,519,650,0.7984615384615384,0,2
1.0,31,273,426,0.6408450704225352,0,2
1.0,32,62,119,0.5210084033613446,0,2
2.0,1,711,1082,0.6571164510166358,0,2
2.0,2,318,320,0.99375,0,3
2.0,3,79,111,0.7117117117117117,0,2
2.0,4,1,1,1.0,1,1
2.0,5,782,863,0.9061413673232909,0,2
2.0,6,11,22,0.5,0,1
2.0,7,41,41,1.0,1,1
2.0,8,190,237,0.8016877637130801,0,2
2.0,9,4261,5596,0.7614367405289493,0,2
2.0,10,23,120,0.19166666666666668,0,2
2.0,11,819,917,0.8931297709923665,0,2
2.0,12,9,26,0.34615384615384615,0,2
2.0,13,176,225,0.7822222222222223,0,2
2.0,14,2833,2971,0.9535509929316729,0,2
2.0,15,408,2208,0.18478260869565216,0,2
2.0,16,241,270,0.8925925925925926,0,2
2.0,17,282,285,0.9894736842105263,0,1
2.0,18,3,8,0.375,0,1
2.0,19,735,1034,0.7108317214700194,0,2
2.0,20,20,30,0.6666666666666666,0,1
2.0,21,990,1099,0.9008189262966333,0,2
2.0,22,212,510,0.41568627450980394,0,2
2.0,23,11,18,0.6111111111111112,0,2
2.0,24,443,479,0.9248434237995825,0,2
2.0,25,81,100,0.81,0,2
2.0,26,231,334,0.6916167664670658,0,2
2.0,27,74,99,0.7474747474747475,0,2
2.0,28,53,149,0.35570469798657717,0,1
2.0,29,55,63,0.873015873015873,0,1
2.0,30,561,620,0.9048387096774193,0,4
2.0,31,192,285,0.6736842105263158,0,2
2.0,32,42,70,0.6,0,1
